json_file_name;brand;brandtext;category;type;size;colors;season;pilling;condition;price;annotator;cut;pattern;trend;smell;stains;holes;damage;material;comment;usage;weight;Series;X;Y
labels_2022_12_05_12_41_39.json;365;;Ladies;Cardigan;M ;['Red'];All;5.0;2.0;<50;14;['C-collar', 'Regular'];Dots;None;Major;Minor;Minor;;100% bomull;;Recycle;;;;
labels_2022_12_05_13_11_15.json;Not in the list;Vero moda;Ladies;Blouse;M ;['Black'];All;5.0;2.0;<50;14;['C-collar', 'Loose'];Transparent;None;Major;Minor;None;;100% polyester;;Recycle;;;;
labels_2022_12_05_13_23_37.json;Masai;;Ladies;Dress;XL;['Black'];All;1.0;2.0;<50;14;['C-collar'];Lace;None;Minor;None;None;;51% nylon, 49% viscose;;Repair;;;;
labels_2022_12_01_09_56_38.json;Everest;;Children;Winter trousers;104;['Orange', 'Black'];Winter;3.0;3.0;50-100;22;['Regular'];None;None;Minor;Major;None;;50%nylon 50%polyester;;Export;;;;
labels_2022_12_01_12_54_58.json;Not in the list;joy;Men;T-shirt;None;['White', 'Black'];Summer;4.0;3.0;50-100;22;['Regular'];Striped;None;Minor;Minor;None;;100%cotton;;Export;;;;
labels_2022_12_01_13_01_33.json;Not in the list;Capture;Ladies;Blazer;38;['Grey', 'Black'];Autumn;4.0;5.0;100-150;22;['Regular'];Checkered print;None;Minor;None;None;;30%wool 30%polyester 30%acrylic 10%other;;Reuse;;;;
labels_2022_12_01_14_14_44.json;Indiska;;Ladies;Dress;M ;['Multicolor', 'Blue', 'Black', 'White'];Summer;5.0;5.0;<50;22;['Long', 'C-collar'];Floral print;None;None;None;None;;100%viscose;;Reuse;;;;
labels_2022_12_01_14_17_17.json;Not in the list;PRIVACY.;Ladies;T-shirt;M ;['White'];Summer;4.0;3.0;<50;22;['Regular', 'V-collar'];None;None;None;Minor;None;;100%cotton;;Export;;;;
labels_2022_12_01_13_57_59.json;Isolde;;Ladies;Blouse;L;['Multicolor', 'Black', 'Beige', 'White'];Spring;5.0;5.0;50-100;22;['Regular', 'C-collar'];Floral print;None;None;None;None;;100%polyester;;Reuse;;;;
labels_2022_12_01_13_04_18.json;Not in the list;RAGTAG;Men;Sweater;L;['Multicolor', 'Green', 'White', 'Yellow', 'Black'];Autumn;3.0;4.0;50-100;22;['Regular', 'V-collar'];Striped;None;Minor;None;None;;100%cotton;;Export;;;;
